audio_norm,video_norm,au_norm,au_dynamic_norm,emotion
3562.6282,22.116379,11.683195,16.646814,Neutral
3623.5198,22.340864,11.556435,17.573078,Neutral
3926.512,22.34756,11.002901,17.230204,Neutral
3766.0781,22.794838,11.516229,16.357544,Neutral
3709.6047,23.054907,11.411527,17.68374,Calm
3106.6196,22.715887,10.220422,16.155775,Calm
3779.2302,23.603983,12.292879,19.127777,Calm
3933.9917,22.458921,11.48289,17.450228,Calm
3563.941,21.922113,9.8021345,14.831764,Calm
3711.4512,22.899942,10.938768,16.880972,Calm
4077.1057,22.220284,10.861748,17.096422,Calm
3805.2292,22.735931,11.209353,18.442175,Calm
3942.537,21.760971,16.486162,25.021812,Happy
3643.7014,21.40973,16.09866,26.74646,Happy
3658.1445,21.023424,15.986263,25.680868,Happy
4333.374,20.963728,14.618491,22.549116,Happy
4262.1514,20.300535,17.778551,27.058859,Happy
3887.2783,20.520039,17.986282,29.650509,Happy
4577.5854,21.00457,17.272058,28.760963,Happy
4440.4907,20.167166,19.739311,28.0457,Happy
3611.3862,20.386106,8.46576,13.435023,Sad
3436.9995,21.729027,9.804764,15.2397585,Sad
2950.51,22.243706,9.317998,14.547888,Sad
3341.2825,21.096596,10.244805,15.465726,Sad
4017.5786,21.554987,9.864798,16.24883,Sad
3408.6917,20.769087,14.58301,22.382729,Sad
3591.6182,21.811386,11.533906,17.448162,Sad
3567.533,21.560778,8.786585,13.544483,Sad
4501.0347,22.032108,10.966625,15.379402,Angry
4558.9956,22.460335,12.562603,16.21908,Angry
4301.5044,21.514803,8.821358,13.492496,Angry
4525.2305,19.941227,11.042384,16.234816,Angry
4976.3193,19.68549,15.440694,20.632925,Angry
5376.9272,18.00602,15.983866,20.318478,Angry
5345.587,20.532907,16.854841,22.80495,Angry
5986.917,19.65658,18.051702,26.402029,Angry
3961.426,19.481833,8.951344,12.134256,Fearful
4238.4546,21.724718,11.831999,19.247324,Fearful
3816.3638,19.438345,7.2254195,11.090141,Fearful
4196.9565,20.253925,6.494253,10.352284,Fearful
5361.399,18.960377,10.715844,16.169672,Fearful
4759.4697,20.956055,14.988428,20.07532,Fearful
