,precision,recall,f1-score,support
Neutral,0.6018518518518519,0.6770833333333334,0.6372549019607843,96.0
Calm,0.7655502392344498,0.8333333333333334,0.7980049875311721,192.0
Happy,0.7477477477477478,0.8645833333333334,0.8019323671497585,192.0
Sad,0.5961538461538461,0.484375,0.5344827586206896,192.0
Angry,0.7526881720430108,0.7291666666666666,0.7407407407407407,192.0
Fearful,0.654054054054054,0.6302083333333334,0.6419098143236074,192.0
Disgust,0.7090909090909091,0.8125,0.7572815533980582,192.0
Surprised,0.6818181818181818,0.546875,0.6069364161849711,192.0
accuracy,0.6986111111111111,0.6986111111111111,0.6986111111111111,0.6986111111111111
macro avg,0.6886193752492564,0.697265625,0.6898179424887227,1440.0
weighted avg,0.6944038768090833,0.6986111111111111,0.6933221451905854,1440.0
