fold,model,accuracy,macro_f1,uar
0,audio_lora,0.36333333333333334,0.2433736716017921,0.34062499999999996
0,audio,0.5333333333333333,0.5206257604400998,0.53125
0,video,0.4266666666666667,0.39408167280810935,0.4125
0,au,0.5466666666666666,0.5466954490133015,0.5687500000000001
0,au_dynamic,0.55,0.5573563315138627,0.56875
0,simple_avg_fusion,0.7266666666666667,0.7171484129949397,0.73125
1,audio_lora,0.38333333333333336,0.3074855064759101,0.36875
1,audio,0.49333333333333335,0.4909915734296488,0.49375
1,video,0.5033333333333333,0.5062047347522182,0.509375
1,au,0.6333333333333333,0.6142814693660921,0.621875
1,au_dynamic,0.62,0.5985474875732779,0.609375
1,simple_avg_fusion,0.7766666666666666,0.7621091555908084,0.775
2,audio_lora,0.2633333333333333,0.14484120033020445,0.246875
2,audio,0.5033333333333333,0.49810511830837034,0.49374999999999997
2,video,0.37666666666666665,0.34513972339205784,0.36562500000000003
2,au,0.59,0.5763142372452157,0.5906250000000001
2,au_dynamic,0.6033333333333334,0.5829351176103625,0.609375
2,simple_avg_fusion,0.6966666666666667,0.6855911176701968,0.690625
3,audio_lora,0.3433333333333333,0.2571872622144361,0.321875
3,audio,0.48,0.4759755843565029,0.478125
3,video,0.38666666666666666,0.3684640796166591,0.390625
3,au,0.5533333333333333,0.5535959021613759,0.5531250000000001
3,au_dynamic,0.5766666666666667,0.5715052019040958,0.5875
3,simple_avg_fusion,0.6866666666666666,0.670683796322626,0.690625
4,audio_lora,0.37916666666666665,0.30780440302794554,0.35546875
4,audio,0.425,0.42884127904720654,0.41796875
4,video,0.5,0.48584658077778275,0.48828125
4,au,0.5708333333333333,0.5734899071146657,0.56640625
4,au_dynamic,0.5458333333333333,0.5350200309448445,0.53515625
4,simple_avg_fusion,0.7625,0.7656252636497365,0.75390625
