fold,stage,accuracy,macro_f1,uar
0,meta_only,0.6933333333333334,0.6766199006473633,0.7
0,meta_plus_dual_fusion,0.6933333333333334,0.6766955516934421,0.7
0,after_pair_and_gender_specialists,0.6966666666666667,0.6794934638657542,0.703125
0,final_after_sad_specialist,0.6933333333333334,0.6774373239160036,0.7
1,meta_only,0.7066666666666667,0.6986229286882273,0.70625
1,meta_plus_dual_fusion,0.7233333333333334,0.714694412605726,0.721875
1,after_pair_and_gender_specialists,0.7333333333333333,0.7244645161532226,0.73125
1,final_after_sad_specialist,0.7366666666666667,0.7288430198603708,0.734375
2,meta_only,0.6766666666666666,0.6366332169353076,0.6468750000000001
2,meta_plus_dual_fusion,0.6766666666666666,0.6364974266551207,0.6468750000000001
2,after_pair_and_gender_specialists,0.68,0.6382602893575255,0.6499999999999999
2,final_after_sad_specialist,0.6766666666666666,0.6353819150942406,0.6468750000000001
3,meta_only,0.6333333333333333,0.6061087854154524,0.65
3,meta_plus_dual_fusion,0.64,0.6128216411750221,0.65625
3,after_pair_and_gender_specialists,0.6466666666666666,0.6196812975621901,0.6625
3,final_after_sad_specialist,0.6466666666666666,0.6196812975621901,0.6625
4,meta_only,0.7208333333333333,0.7369167215635988,0.72265625
4,meta_plus_dual_fusion,0.7333333333333333,0.7476081640332246,0.734375
4,after_pair_and_gender_specialists,0.7541666666666667,0.7698059246899542,0.7578125
4,final_after_sad_specialist,0.75,0.7668392356431435,0.75390625
