,audio_rms,audio_zcr,audio_feat_norm,video_frame_ratio,video_saliency,video_feat_norm,au_found,au_conf_mean,au_success_rate,au_dyn_found,au_dyn_conf_mean,au_dyn_success_rate
audio_rms,1.0,0.057701974177970544,0.4052913732054179,0.0,0.0,-0.00048530717907520733,0.0,-0.21929929553263378,0.0,0.0,-0.21929929553263378,0.0
audio_zcr,0.057701974177970544,1.0,0.527795590030385,0.0,0.0,-0.2090543848352479,0.0,-0.13521904067515253,0.0,0.0,-0.13521904067515253,0.0
audio_feat_norm,0.4052913732054179,0.527795590030385,1.0,0.0,0.0,-0.17080953176072686,0.0,-0.2286435498167432,0.0,0.0,-0.2286435498167432,0.0
video_frame_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_saliency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_feat_norm,-0.00048530717907520733,-0.2090543848352479,-0.17080953176072686,0.0,0.0,1.0,0.0,0.026457879845307463,0.0,0.0,0.026457879845307463,0.0
au_found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
au_conf_mean,-0.21929929553263378,-0.13521904067515253,-0.2286435498167432,0.0,0.0,0.026457879845307463,0.0,1.0,0.0,0.0,1.0,0.0
au_success_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
au_dyn_found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
au_dyn_conf_mean,-0.21929929553263378,-0.13521904067515253,-0.2286435498167432,0.0,0.0,0.026457879845307463,0.0,1.0,0.0,0.0,1.0,0.0
au_dyn_success_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
