,precision,recall,f1-score,support
Neutral,0.6759259259259259,0.7604166666666666,0.7156862745098039,96.0
Calm,0.7976878612716763,0.71875,0.7561643835616438,192.0
Happy,0.7434782608695653,0.890625,0.8104265402843602,192.0
Sad,0.6011904761904762,0.5260416666666666,0.5611111111111111,192.0
Angry,0.7183098591549296,0.796875,0.7555555555555555,192.0
Fearful,0.6530612244897959,0.6666666666666666,0.6597938144329897,192.0
Disgust,0.8092783505154639,0.8177083333333334,0.8134715025906736,192.0
Surprised,0.6835443037974683,0.5625,0.6171428571428571,192.0
accuracy,0.7145833333333333,0.7145833333333333,0.7145833333333333,0.7145833333333333
macro avg,0.7103095327769127,0.7174479166666666,0.7111690048986243,1440.0
weighted avg,0.7126017732336452,0.7145833333333333,0.7108678535912124,1440.0
