fold,modality,oof_uar
0,audio,0.46628289473684204
0,video,0.4243421052631579
0,au,0.555921052631579
0,au_dynamic,0.5476973684210527
1,audio,0.49917763157894735
1,video,0.41776315789473684
1,au,0.5287828947368421
1,au_dynamic,0.5485197368421053
2,audio,0.4975328947368421
2,video,0.42434210526315785
2,au,0.5641447368421053
2,au_dynamic,0.5501644736842106
3,audio,0.4810855263157895
3,video,0.43832236842105265
3,au,0.5986842105263158
3,au_dynamic,0.5657894736842105
4,audio,0.49374999999999997
4,video,0.4078125
4,au,0.5671875
4,au_dynamic,0.57109375
