fold,stage,accuracy,macro_f1,uar
0,meta_only,0.72,0.7118159070272632,0.734375
0,meta_plus_dual_fusion,0.7266666666666667,0.7186555072051766,0.740625
0,after_pair_and_gender_specialists,0.73,0.7225243193512927,0.74375
0,final_after_sad_specialist,0.7266666666666667,0.7183490390378174,0.7375
1,meta_only,0.7366666666666667,0.7279028531355859,0.734375
1,meta_plus_dual_fusion,0.7333333333333333,0.722979584459386,0.73125
1,after_pair_and_gender_specialists,0.7466666666666667,0.7379147009293651,0.7437499999999999
1,final_after_sad_specialist,0.7566666666666667,0.7490594333579934,0.753125
2,meta_only,0.7133333333333334,0.7018623506066048,0.7093750000000001
2,meta_plus_dual_fusion,0.7133333333333334,0.7008485611723149,0.70625
2,after_pair_and_gender_specialists,0.7233333333333334,0.7138421197514635,0.721875
2,final_after_sad_specialist,0.7233333333333334,0.7138421197514635,0.721875
3,meta_only,0.62,0.6124754225517914,0.628125
3,meta_plus_dual_fusion,0.6366666666666667,0.6283545901903211,0.64375
3,after_pair_and_gender_specialists,0.6466666666666666,0.6391712146716497,0.6531250000000001
3,final_after_sad_specialist,0.6466666666666666,0.6391712146716497,0.6531250000000001
4,meta_only,0.6958333333333333,0.7069440782418652,0.69140625
4,meta_plus_dual_fusion,0.7083333333333334,0.7224020741654714,0.70703125
4,after_pair_and_gender_specialists,0.725,0.7412971733656921,0.7265625
4,final_after_sad_specialist,0.7208333333333333,0.7377884183373579,0.72265625
