,precision,recall,f1-score,support
Neutral,0.7115384615384616,0.7708333333333334,0.74,96.0
Calm,0.7524271844660194,0.8072916666666666,0.7788944723618091,192.0
Happy,0.835,0.8697916666666666,0.8520408163265306,192.0
Sad,0.6149068322981367,0.515625,0.5609065155807366,192.0
Angry,0.7704081632653061,0.7864583333333334,0.7783505154639175,192.0
Fearful,0.6224489795918368,0.6354166666666666,0.6288659793814433,192.0
Disgust,0.8019323671497585,0.8645833333333334,0.8320802005012531,192.0
Surprised,0.6294117647058823,0.5572916666666666,0.5911602209944752,192.0
accuracy,0.7229166666666667,0.7229166666666667,0.7229166666666667,0.7229166666666667
macro avg,0.7172592191269251,0.7259114583333333,0.7202873400762707,1440.0
weighted avg,0.7176406029661561,0.7229166666666667,0.7189731627480221,1440.0
