fold,stage,accuracy,macro_f1,uar
0,meta_only,0.72,0.7118159070272632,0.734375
0,meta_plus_dual_fusion,0.73,0.7258071167143283,0.7406250000000001
0,after_pair_and_gender_specialists,0.73,0.7258071167143283,0.7406250000000001
0,final_after_sad_specialist,0.73,0.7258071167143283,0.7406250000000001
1,meta_only,0.7366666666666667,0.7279028531355859,0.734375
1,meta_plus_dual_fusion,0.7733333333333333,0.7613678848067312,0.778125
1,after_pair_and_gender_specialists,0.7733333333333333,0.7613678848067312,0.778125
1,final_after_sad_specialist,0.7733333333333333,0.7613678848067312,0.778125
2,meta_only,0.7133333333333334,0.7018623506066048,0.7093750000000001
2,meta_plus_dual_fusion,0.7033333333333334,0.6943006076987621,0.7
2,after_pair_and_gender_specialists,0.7033333333333334,0.6943006076987621,0.7
2,final_after_sad_specialist,0.7033333333333334,0.6943006076987621,0.7
3,meta_only,0.62,0.6124754225517914,0.628125
3,meta_plus_dual_fusion,0.6633333333333333,0.6539640976898325,0.66875
3,after_pair_and_gender_specialists,0.6633333333333333,0.6539640976898325,0.66875
3,final_after_sad_specialist,0.6633333333333333,0.6539640976898325,0.66875
4,meta_only,0.6958333333333333,0.7069440782418652,0.69140625
4,meta_plus_dual_fusion,0.75,0.7613347407570619,0.74609375
4,after_pair_and_gender_specialists,0.75,0.7613347407570619,0.74609375
4,final_after_sad_specialist,0.75,0.7613347407570619,0.74609375
